;Date,Open,High,Low,Close,Adj Close,Volume
1;2020-01-02,30.510000,30.700001,30.309999,30.700001,29.698208,37774500
2;2020-01-03,30.879999,31.240000,30.450001,30.450001,29.456367,71595600
3;2020-01-06,30.430000,30.940001,29.950001,30.809999,29.804619,81844000
4;2020-01-07,30.820000,30.879999,30.469999,30.690001,29.688534,32822000
5;2020-01-08,30.690001,30.770000,30.240000,30.500000,29.504732,48215600
6;2020-01-09,30.469999,30.620001,30.250000,30.400000,29.407995,36102700
7;2020-01-10,30.389999,30.440001,30.129999,30.270000,29.282242,25397500
8;2020-01-13,30.350000,30.430000,30.209999,30.330000,29.340281,30676800
9;2020-01-14,30.230000,30.270000,29.770000,30.000000,29.021051,39796500
10;2020-01-15,29.900000,29.930000,29.540001,29.549999,28.585733,34405700
11;2020-01-16,29.600000,29.700001,29.330000,29.520000,28.556711,28997400
12;2020-01-17,29.719999,29.850000,29.540001,29.850000,28.875946,34908000
13;2020-01-20,29.700001,30.100000,29.650000,30.000000,29.021051,31241400
14;2020-01-21,29.799999,29.940001,29.549999,29.620001,28.653450,28577400
15;2020-01-22,29.730000,29.809999,29.270000,29.290001,28.334219,32491500
16;2020-01-23,29.090000,29.760000,28.820000,29.650000,28.682472,53752100
17;2020-01-24,29.559999,29.780001,29.139999,29.299999,28.343891,36898700
18;2020-01-27,28.629999,28.639999,27.670000,28.030001,27.115335,66105300
19;2020-01-28,28.430000,29.139999,28.420000,28.799999,27.860207,47259100
20;2020-01-29,29.000000,29.080000,28.670000,28.850000,27.908577,42297500
21;2020-01-30,28.280001,29.040001,28.180000,28.940001,27.995640,44266800
22;2020-01-31,28.629999,28.840000,28.309999,28.450001,27.521631,55446700
23;2020-02-03,28.520000,28.730000,28.160000,28.180000,27.260443,39452800
24;2020-02-04,28.650000,29.040001,28.559999,28.629999,27.695755,57658400
25;2020-02-05,29.049999,29.219999,28.389999,28.389999,27.463589,67994500
26;2020-02-06,28.700001,29.510000,28.120001,29.180000,28.227808,126114000
27;2020-02-07,29.000000,29.350000,28.730000,28.930000,27.985966,54514600
28;2020-02-10,28.889999,29.129999,28.639999,29.129999,28.179440,45328100
29;2020-02-11,29.400000,29.629999,29.260000,29.480000,28.518019,37518200
30;2020-02-12,29.639999,30.280001,29.629999,30.129999,29.146807,64851000
31;2020-02-13,29.770000,30.209999,29.639999,29.719999,28.750187,55277100
32;2020-02-14,29.860001,29.959999,29.340000,29.420000,28.459976,30399900
33;2020-02-17,29.629999,29.770000,29.309999,29.360001,28.401937,38684900
34;2020-02-18,29.059999,29.770000,28.950001,29.750000,28.779207,33890900
35;2020-02-19,29.870001,30.549999,29.760000,30.549999,29.553102,44181800
36;2020-02-20,30.799999,30.889999,29.750000,29.920000,28.943661,73522900
37;2020-02-21,29.510000,29.680000,29.030001,29.139999,28.189114,47805100
38;2020-02-26,null,null,null,null,null,null
39;2020-02-27,25.719999,26.530001,24.889999,25.299999,24.474419,100112100
40;2020-02-28,25.160000,25.559999,24.620001,25.340000,24.513113,89095300
41;2020-03-02,25.500000,26.750000,25.480000,26.530001,25.664284,71596400
42;2020-03-03,26.570000,27.480000,25.760000,26.049999,25.199944,86855700
43;2020-03-04,26.910000,26.940001,26.240000,26.889999,26.012533,42320500
44;2020-03-05,26.330000,26.670000,24.709999,25.290001,24.464746,69722300
45;2020-03-06,24.100000,24.129999,22.549999,22.830000,22.085018,138597600
46;2020-03-09,17.809999,18.230000,15.410000,16.049999,15.526260,254813800
47;2020-03-10,18.650000,18.650000,16.370001,17.559999,16.986988,170478000
48;2020-03-11,16.700001,17.129999,15.000000,15.850000,15.332788,132482400
49;2020-03-12,13.660000,13.860000,11.080000,12.600000,12.188841,151535900
50;2020-03-13,15.100000,15.400000,12.700000,15.400000,14.897471,174972600
51;2020-03-16,12.910000,14.100000,12.550000,13.090000,12.662851,126432800
52;2020-03-17,13.600000,13.840000,13.000000,13.000000,12.575788,149228500
53;2020-03-18,11.790000,12.270000,10.870000,11.290000,10.921589,162515200
54;2020-03-19,11.070000,13.070000,10.850000,12.210000,11.811567,157065200
55;2020-03-20,13.110000,13.500000,11.830000,12.000000,11.608418,149029900
56;2020-03-23,12.110000,12.180000,11.280000,11.500000,11.124736,107092400
57;2020-03-24,12.570000,13.540000,12.280000,13.250000,12.817631,114259200
58;2020-03-25,13.240000,14.790000,12.830000,14.320000,13.852714,158286200
59;2020-03-26,14.400000,15.190000,13.810000,14.390000,13.920430,130618400
60;2020-03-27,13.300000,13.690000,13.250000,13.300000,12.865999,101405900
61;2020-03-30,13.150000,13.740000,12.830000,13.380000,12.943388,110947200
62;2020-03-31,13.600000,14.540000,13.600000,13.990000,13.533484,156116500
